Building/  Project Name,Street Name,Postal District,Type,No. of Bedroom  (for Non-Landed Only),Monthly Rent  ($),Floor Area (Sqft)  1,Lease  Commencement  Date
GRANDE VISTA,CACTUS DRIVE,28,Non-landed Properties,4,3750,2700 to 2800,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,3300,800 to 900,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2750,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2250,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2650,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2300,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2800,600 to 700,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2788,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2400,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2500,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2400,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2400,400 to 500,Apr-21
GRAND REGENCY,JALAN RAJAWALI,21,Non-landed Properties,2,2150,800 to 900,Apr-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,3,3400,1200 to 1300,Apr-21
GRAND RESIDENCE,LORONG G TELOK KURAU,15,Non-landed Properties,2,2900,900 to 1000,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2700,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2300,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,5,6500,1700 to 1800,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2750,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,4200,800 to 900,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2900,500 to 600,Apr-21
GRAND REGENCY,JALAN RAJAWALI,21,Non-landed Properties,3,2500,1100 to 1200,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,3450,800 to 900,Apr-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,4,3650,1400 to 1500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,3700,800 to 900,Apr-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,2,2880,1100 to 1200,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,1500,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2700,500 to 600,Apr-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,3,3200,1200 to 1300,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2550,500 to 600,Apr-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,3,3000,1200 to 1300,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,4000,900 to 1000,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2200,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2300,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2700,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2900,600 to 700,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2500,600 to 700,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,6000,1400 to 1500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2600,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,5100,1400 to 1500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2250,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2350,700 to 800,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3600,900 to 1000,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2800,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3800,900 to 1000,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,3000,600 to 700,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2900,600 to 700,Apr-21
GRANDE VISTA,CACTUS DRIVE,28,Non-landed Properties,3,3000,1600 to 1700,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2000,400 to 500,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2600,500 to 600,Apr-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2600,600 to 700,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2600,500 to 600,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2800,600 to 700,Mar-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,2,2700,1100 to 1200,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2200,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2700,600 to 700,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2600,500 to 600,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2400,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2100,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2150,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2700,600 to 700,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3500,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2800,600 to 700,Mar-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,3,3100,1200 to 1300,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2600,500 to 600,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3600,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,3500,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,4000,900 to 1000,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2600,600 to 700,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2200,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2300,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3100,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,1950,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2200,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3350,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2600,500 to 600,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2700,600 to 700,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,2450,500 to 600,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,2,3000,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2600,500 to 600,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2100,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2200,400 to 500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,3,3200,800 to 900,Mar-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,3,3050,1200 to 1300,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,3700,800 to 900,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2200,400 to 500,Mar-21
GRANDEUR 8,ANG MO KIO CENTRAL 3,20,Non-landed Properties,4,3800,1400 to 1500,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2300,400 to 500,Mar-21
GRANDE VISTA,CACTUS DRIVE,28,Non-landed Properties,3,2800,1600 to 1700,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,1,2200,400 to 500,Mar-21
GRANDE VISTA,CACTUS DRIVE,28,Non-landed Properties,3,2500,1200 to 1300,Mar-21
GRANDEUR PARK RESIDENCES,BEDOK SOUTH AVENUE 3,16,Non-landed Properties,,2600,500 to 600,Mar-21
